"district","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","availability_365"
"Manhattan","Midtown",40.75362,-73.98377,"Entire home/apt",225,1,45,355
"Manhattan","Murray Hill",40.74767,-73.975,"Entire home/apt",200,3,74,129
"Manhattan","Chinatown",40.71344,-73.99037,"Entire home/apt",150,1,160,188
"Manhattan","Upper West Side",40.80316,-73.96545,"Entire home/apt",135,5,53,6
"Manhattan","West Village",40.7353,-74.00525,"Entire home/apt",120,90,27,0
"Manhattan","Hell's Kitchen",40.76715,-73.98533,"Entire home/apt",150,10,58,75
"Manhattan","East Village",40.7292,-73.98542,"Entire home/apt",180,14,29,67
"Manhattan","Harlem",40.81175,-73.94478,"Entire home/apt",150,7,97,309
"Manhattan","Upper West Side",40.78635,-73.97008,"Entire home/apt",151,2,73,302
"Manhattan","Kips Bay",40.73961,-73.98074,"Entire home/apt",200,7,19,257
"Manhattan","SoHo",40.7221,-73.99775,"Entire home/apt",180,30,21,154
"Manhattan","Upper East Side",40.77065,-73.95269,"Entire home/apt",250,2,66,231
"Manhattan","East Harlem",40.80164,-73.93922,"Entire home/apt",225,4,190,215
"Manhattan","East Village",40.72162,-73.98008,"Entire home/apt",230,9,49,116
"Manhattan","East Village",40.72828,-73.98801,"Entire home/apt",190,5,21,224
"Manhattan","Harlem",40.82915,-73.95136,"Entire home/apt",110,31,54,209
"Manhattan","Lower East Side",40.71851,-73.98892,"Entire home/apt",285,5,70,328
"Manhattan","Upper West Side",40.79764,-73.96177,"Entire home/apt",140,3,81,198
"Manhattan","West Village",40.73096,-74.00319,"Entire home/apt",500,4,46,243
"Manhattan","East Village",40.7288,-73.98192,"Entire home/apt",140,7,12,164
"Manhattan","Kips Bay",40.74294,-73.98009,"Entire home/apt",199,5,38,260
"Manhattan","Upper West Side",40.77823,-73.97637,"Entire home/apt",235,6,27,199
"Manhattan","East Village",40.72555,-73.97965,"Entire home/apt",225,1,115,299
"Manhattan","Harlem",40.82754,-73.94919,"Entire home/apt",170,2,195,318
"Manhattan","Upper West Side",40.77842,-73.97556,"Entire home/apt",170,7,13,224
"Manhattan","East Village",40.72245,-73.98527,"Entire home/apt",100,4,25,0
"Manhattan","Upper East Side",40.778,-73.94822,"Entire home/apt",150,5,21,189
"Manhattan","Harlem",40.81618,-73.94894,"Entire home/apt",120,3,155,213
"Manhattan","East Village",40.72392,-73.99143,"Entire home/apt",185,5,73,209
"Manhattan","Lower East Side",40.71341,-73.98856,"Entire home/apt",105,3,32,16
"Manhattan","West Village",40.73442,-74.00303,"Entire home/apt",115,29,26,12
"Manhattan","East Village",40.72354,-73.98295,"Entire home/apt",195,3,30,248
"Manhattan","West Village",40.73226,-74.00401,"Entire home/apt",225,45,134,312
"Manhattan","Upper East Side",40.77711,-73.9527,"Entire home/apt",219,4,126,290
"Manhattan","Upper East Side",40.77456,-73.95323,"Entire home/apt",99,1,234,164
"Manhattan","Financial District",40.70666,-74.01374,"Entire home/apt",196,3,114,0
"Manhattan","West Village",40.73756,-74.00405,"Entire home/apt",170,3,86,246
"Manhattan","Harlem",40.81526,-73.94791,"Entire home/apt",165,3,80,231
"Manhattan","West Village",40.73423,-74.0046,"Entire home/apt",150,26,38,225
"Manhattan","Harlem",40.82374,-73.9373,"Entire home/apt",100,2,18,0
"Manhattan","Hell's Kitchen",40.76307,-73.99665,"Entire home/apt",275,1,41,299
"Manhattan","Lower East Side",40.71882,-73.98852,"Entire home/apt",299,2,109,207
"Manhattan","Hell's Kitchen",40.76244,-73.99271,"Entire home/apt",195,5,10,0
"Manhattan","Harlem",40.81035,-73.94598,"Entire home/apt",121,1,104,247
"Manhattan","West Village",40.72861,-74.0049,"Entire home/apt",199,5,129,286
"Manhattan","East Village",40.72752,-73.98432,"Entire home/apt",130,1,204,192
"Manhattan","East Village",40.72821,-73.98701,"Entire home/apt",189,3,205,0
"Manhattan","Hell's Kitchen",40.7672,-73.98508,"Entire home/apt",250,3,94,3
"Manhattan","Flatiron District",40.7403,-73.98498,"Entire home/apt",305,2,108,201
"Manhattan","Harlem",40.80931,-73.94343,"Entire home/apt",155,3,222,232
"Manhattan","Lower East Side",40.72052,-73.98589,"Entire home/apt",150,3,41,244
"Manhattan","Chinatown",40.71756,-73.99503,"Entire home/apt",250,4,18,265
"Manhattan","Midtown",40.7589,-73.96991,"Entire home/apt",250,30,82,0
"Manhattan","SoHo",40.72003,-74.00262,"Entire home/apt",500,4,94,329
"Manhattan","Greenwich Village",40.73194,-73.99474,"Entire home/apt",225,5,10,91
"Manhattan","East Harlem",40.79163,-73.94573,"Entire home/apt",125,28,183,365
"Manhattan","East Village",40.72654,-73.98049,"Entire home/apt",99,2,127,320
"Manhattan","East Harlem",40.80942,-73.93936,"Entire home/apt",140,3,135,192
"Manhattan","Little Italy",40.71961,-73.9954,"Entire home/apt",135,2,21,0
"Manhattan","Chelsea",40.74358,-74.00027,"Entire home/apt",500,2,35,348
"Manhattan","Midtown",40.75749,-73.96897,"Entire home/apt",110,200,92,140
"Manhattan","East Village",40.7268,-73.99079,"Entire home/apt",130,50,56,56
"Manhattan","East Village",40.72477,-73.98161,"Entire home/apt",175,3,185,326
"Manhattan","Chelsea",40.74238,-73.99567,"Entire home/apt",205,9,62,76
"Manhattan","East Village",40.72185,-73.98246,"Entire home/apt",390,5,143,316
"Manhattan","Upper West Side",40.77956,-73.98098,"Entire home/apt",115,2,210,261
"Manhattan","East Village",40.72681,-73.98534,"Entire home/apt",212,3,67,51
"Manhattan","Harlem",40.81322,-73.95306,"Entire home/apt",135,6,187,189
"Manhattan","East Harlem",40.79603,-73.94903,"Entire home/apt",124,28,22,103
"Manhattan","Upper West Side",40.78971,-73.9729,"Entire home/apt",195,11,30,249
"Manhattan","Little Italy",40.71943,-73.99627,"Entire home/apt",575,2,191,298
"Manhattan","Upper West Side",40.78,-73.98249,"Entire home/apt",150,30,48,35
"Manhattan","East Village",40.72542,-73.97986,"Entire home/apt",500,2,48,297
"Manhattan","Washington Heights",40.83494,-73.93869,"Entire home/apt",250,3,32,276
"Manhattan","Chinatown",40.71659,-73.98945,"Entire home/apt",125,25,43,102
"Manhattan","West Village",40.72966,-74.00243,"Entire home/apt",200,30,39,251
"Manhattan","Upper West Side",40.77728,-73.97818,"Entire home/apt",110,13,38,0
"Manhattan","East Harlem",40.80892,-73.93985,"Entire home/apt",113,14,26,253
"Manhattan","Harlem",40.80276,-73.9567,"Entire home/apt",250,14,31,78
"Manhattan","Lower East Side",40.71876,-73.98394,"Entire home/apt",150,3,286,191
"Manhattan","East Village",40.72399,-73.98374,"Entire home/apt",169,4,240,276
"Manhattan","East Village",40.72451,-73.98094,"Entire home/apt",225,2,33,0
"Manhattan","East Village",40.72843,-73.98895,"Entire home/apt",139,1,388,142
"Manhattan","Lower East Side",40.71965,-73.98766,"Entire home/apt",150,2,151,52
"Manhattan","Chelsea",40.74893,-73.99544,"Entire home/apt",130,30,19,189
"Manhattan","Upper West Side",40.78558,-73.9696,"Entire home/apt",212,21,45,35
"Manhattan","East Village",40.72577,-73.98745,"Entire home/apt",249,5,166,365
"Manhattan","Upper West Side",40.77944,-73.98567,"Entire home/apt",120,5,49,201
"Manhattan","Midtown",40.74503,-73.98876,"Entire home/apt",169,18,54,98
"Manhattan","Upper East Side",40.78491,-73.9508,"Entire home/apt",225,2,56,312
"Manhattan","Lower East Side",40.71895,-73.99434,"Entire home/apt",211,1,52,361
"Manhattan","Midtown",40.75579,-73.96699,"Entire home/apt",145,6,39,0
"Manhattan","Harlem",40.81822,-73.94095,"Entire home/apt",99,1,320,220
"Manhattan","Harlem",40.80481,-73.94794,"Entire home/apt",110,2,142,301
"Manhattan","East Village",40.72533,-73.99143,"Entire home/apt",395,2,70,170
"Manhattan","East Village",40.72939,-73.98857,"Entire home/apt",189,2,403,201
"Manhattan","Harlem",40.81333,-73.94453,"Entire home/apt",122,1,116,271
"Manhattan","West Village",40.73215,-74.00922,"Entire home/apt",170,4,24,0
"Manhattan","Chelsea",40.74488,-74.001,"Entire home/apt",132,4,10,0
"Manhattan","East Village",40.72274,-73.97581,"Entire home/apt",185,2,69,233
"Manhattan","Nolita",40.72255,-73.99346,"Entire home/apt",375,3,18,0
"Manhattan","Nolita",40.72094,-73.99706,"Entire home/apt",175,3,68,277
"Manhattan","East Village",40.72485,-73.97813,"Entire home/apt",150,4,22,0
"Manhattan","Harlem",40.80473,-73.9532,"Entire home/apt",259,8,17,343
"Manhattan","Harlem",40.80474,-73.94688,"Entire home/apt",295,2,74,264
"Manhattan","Greenwich Village",40.72831,-74.00177,"Entire home/apt",175,3,18,0
"Manhattan","Upper West Side",40.79765,-73.96245,"Entire home/apt",165,2,191,236
"Manhattan","Lower East Side",40.72008,-73.98404,"Entire home/apt",250,4,19,0
"Manhattan","Harlem",40.80497,-73.95016,"Entire home/apt",300,2,203,258
"Manhattan","Upper West Side",40.77724,-73.98109,"Entire home/apt",200,3,10,0
"Manhattan","East Village",40.72972,-73.97995,"Entire home/apt",200,2,103,235
"Manhattan","Harlem",40.83096,-73.94633,"Entire home/apt",295,3,227,247
"Manhattan","Harlem",40.80523,-73.95139,"Entire home/apt",198,5,42,234
"Manhattan","East Village",40.72636,-73.98917,"Entire home/apt",99,2,280,257
"Manhattan","Upper West Side",40.80006,-73.96049,"Entire home/apt",250,31,188,259
"Manhattan","Upper West Side",40.77886,-73.98042,"Entire home/apt",185,2,129,14
"Manhattan","East Village",40.72578,-73.97879,"Entire home/apt",190,3,147,27
"Manhattan","East Harlem",40.80113,-73.94503,"Entire home/apt",250,2,11,68
"Manhattan","Upper West Side",40.78569,-73.97581,"Entire home/apt",175,65,11,358
"Manhattan","East Harlem",40.7932,-73.94007,"Entire home/apt",79,2,15,0
"Manhattan","Gramercy",40.73476,-73.98452,"Entire home/apt",400,2,105,304
"Manhattan","Upper West Side",40.7735,-73.98697,"Entire home/apt",2000,30,30,0
"Manhattan","Chelsea",40.73939,-73.99612,"Entire home/apt",429,10,18,0
"Manhattan","Kips Bay",40.74112,-73.97686,"Entire home/apt",189,6,90,303
"Manhattan","Harlem",40.8296,-73.94651,"Entire home/apt",199,2,111,12
"Manhattan","East Harlem",40.79056,-73.9468,"Entire home/apt",120,2,86,268
"Manhattan","West Village",40.73631,-73.99977,"Entire home/apt",199,15,66,89
"Manhattan","East Village",40.73217,-73.98801,"Entire home/apt",165,1,63,0
"Manhattan","Upper East Side",40.76684,-73.95944,"Entire home/apt",169,7,39,44
"Manhattan","Chelsea",40.74033,-74.00024,"Entire home/apt",149,6,23,0
"Manhattan","Hell's Kitchen",40.76415,-73.99067,"Entire home/apt",149,1,122,20
"Manhattan","East Village",40.73089,-73.98195,"Entire home/apt",160,30,25,46
"Manhattan","East Village",40.72956,-73.97903,"Entire home/apt",250,1,60,0
"Manhattan","Theater District",40.75877,-73.98863,"Entire home/apt",230,2,179,44
"Manhattan","Upper West Side",40.79816,-73.9619,"Entire home/apt",300,2,45,31
"Manhattan","Lower East Side",40.71813,-73.98416,"Entire home/apt",199,1,29,162
"Manhattan","Lower East Side",40.71892,-73.98401,"Entire home/apt",199,1,14,158
"Manhattan","East Village",40.72229,-73.97901,"Entire home/apt",146,3,142,166
"Manhattan","Chelsea",40.74233,-73.99865,"Entire home/apt",199,4,32,28
"Manhattan","East Village",40.72416,-73.9853,"Entire home/apt",288,2,120,229
"Manhattan","West Village",40.73507,-74.00048,"Entire home/apt",225,3,13,83
